cliente_ref,pelicula_ref,pelicula_titulo,categoria_nombre,ingreso,veces_alquilada_pelicula,precio_promedio_genero,codigo_genero,ingreso_alto,pelicula_popular,genero_alto_valor
Charlotte Hunter,Blanket Beverly,Blanket Beverly,Familia,2.99,12,3.86,9,0,0,0
Tommy Collazo,Freaky Pocus,Freaky Pocus,Música,2.99,17,4.12,12,0,0,0
Manuel Murrell,Graduate Lord,Graduate Lord,Niños,3.99,16,3.87,13,0,0,0
Andrew Purdy,Love Suicides,Love Suicides,Horror,4.99,20,4.4,10,0,0,0
Delores Hansen,Idols Snatchers,Idols Snatchers,Niños,6.99,30,3.87,13,1,1,0
Nelson Christenson,Mystic Truman,Mystic Truman,Comedia,0.99,10,4.66,4,0,0,1
Cassandra Walters,Swarm Gold,Swarm Gold,Horror,1.99,27,4.4,10,0,1,0
Minnie Romero,Lawless Vision,Lawless Vision,Animación,4.99,17,3.99,1,1,0,0
Ellen Simpson,Matrix Snowman,Matrix Snowman,Extranjero,4.99,9,4.13,8,1,0,0
Danny Isom,Hanging Deep,Hanging Deep,Drama,5.99,19,4.33,7,1,0,0
April Burns,Whale Bikini,Whale Bikini,Extranjero,8.99,18,4.13,8,1,0,0
Deanna Byrd,Games Bowfinger,Games Bowfinger,Viajar,4.99,14,4.24,15,1,0,0
Raymond Mcwhorter,King Evolution,King Evolution,Familia,6.99,9,3.86,9,1,0,0
Theodore Culp,Monterey Labyrinth,Monterey Labyrinth,Horror,0.99,13,4.4,10,0,0,0
Ronald Weiner,Pelican Comforts,Pelican Comforts,Documental,9.99,26,4.02,6,1,1,0
Steven Curley,Boogie Amelie,Boogie Amelie,Música,4.99,29,4.12,12,1,1,0
Isaac Oglesby,Contact Anonymous,Contact Anonymous,Viajar,2.99,26,4.24,15,0,1,0
Ruth Martinez,Roman Punk,Roman Punk,Música,0.99,24,4.12,12,0,1,0
Ronnie Ricketts,Hollow Jeopardy,Hollow Jeopardy,Ciencia ficción,4.99,10,4.32,2,0,0,0
